code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,riseDays
300686,N智动力,元器件,深圳,39.1,0.31,1.25,53347.01,28576.2,12902.42,1461.75,0.12,0.086,3.66,3.69,20170804,20831.17,1.66,0.0,0.0,23.52,7.09,62812,1
600569,安阳钢铁,普钢,河南,0.0,23.94,23.94,3235726.25,1412554.25,1375494.5,346191.31,1.45,-0.084,1.94,2.07,20010820,-300394.44,-1.25,11.33,-15.38,6.31,-3.66,125686,3
002064,华峰氨纶,化纤,浙江,24.63,15.15,16.77,534614.31,212045.16,221149.55,1968.8,0.01,0.059000000000000004,1.86,3.11,20060823,114728.47,0.68,68.51,316.83,20.2,10.07,77679,2
000890,法 尔 胜,钢加工,江苏,93.41,3.8,3.8,1005064.5,810480.88,27435.13,1377.54,0.04,0.022000000000000002,2.14,3.89,19990119,31408.46,0.83,32.73,-60.44,9.7,1.36,35782,2
300108,双龙股份,中成药,吉林,40.85,3.31,6.36,269446.88,114825.38,79232.57,69918.43,1.1,0.052000000000000005,2.86,2.98,20100825,43294.19,0.68,-7.24,7.46,30.92,25.38,18527,1
000547,航天发展,通信设备,福建,62.48,10.15,14.3,674173.69,375889.56,41314.9,426285.34,2.98,0.043,3.69,2.94,19931130,78964.77,0.55,17.96,25.3,42.55,14.87,114919,2
600862,中航高科,航空,江苏,60.06,7.9,13.93,805218.31,561448.19,115495.67,144466.98,1.04,0.047,2.5,4.52,19940520,32351.7,0.23,163.87,685.96,26.72,9.05,61282,2
000802,北京文化,旅游服务,北京,751.65,3.8,7.26,522284.56,326557.53,4409.99,326750.28,4.5,0.006999999999999999,6.08,3.41,19980108,60857.26,0.84,19.62,120.02,90.9,9.32,43565,1
600879,航天电子,航空,湖北,67.51,20.79,27.19,2120544.5,1590472.75,384241.94,613351.94,2.26,0.033,4.02,2.24,19951115,325632.94,1.2,18.03,36.62,17.64,3.71,130505,2
300680,隆盛科技,汽车配件,江苏,69.04,0.17,0.68,34537.46,20215.64,3445.45,6955.67,1.02,0.09699999999999999,4.07,6.58,20170725,7567.88,1.11,0.0,0.0,32.21,12.89,34036,9
riseDays,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
